,GSVA_score,AveExpr,t,P.Value,adj.P.Val,B,logP
GOMF_IMMUNOGLOBULIN_RECEPTOR_BINDING,0.469886613,-0.028887316,3.660200228,0.001061415,0.809377393,-2.696702176,2.974114851
GOBP_UBIQUITIN_RECYCLING,0.468800424,-0.045518821,2.319685051,0.02803934,0.99991655,-3.830394618,1.552232209
HEVNER_CORTEX_PROLIFERATING_CELLS,0.46617324,-0.044965262,1.975658888,0.058339739,0.99991655,-4.089776399,1.234035516
KONG_E2F3_TARGETS,0.463588292,-0.032969058,2.303603457,0.029052197,0.99991655,-3.842994568,1.536821016
GOBP_REGULATION_OF_PROTEIN_KINASE_A_SIGNALING,0.45751688,-0.016901343,3.227649874,0.003226962,0.99991655,-3.071928024,2.491206155
REICHERT_MITOSIS_LIN9_TARGETS,0.452743959,-0.054763353,2.136336667,0.041727939,0.99991655,-3.971427306,1.379573065
GOCC_MEIOTIC_SPINDLE,0.446988337,-0.038758727,2.216139756,0.035164823,0.99991655,-3.910769099,1.453891563
ISHIDA_E2F_TARGETS,0.446880645,-0.036173285,1.975073986,0.058409558,0.99991655,-4.090197323,1.233516078
REACTOME_NCAM1_INTERACTIONS,0.442256614,0.023999514,2.451787201,0.020860564,0.99991655,-3.725393695,1.680673946
GREENBAUM_E2A_TARGETS_UP,0.441777104,-0.023762127,2.119880988,0.043210294,0.99991655,-3.983786833,1.364412775
GOBP_T_HELPER_17_CELL_LINEAGE_COMMITMENT,0.439477585,-0.042592932,3.09844534,0.004460892,0.99991655,-3.1835031,2.350578299
chr8B2,0.43919744,-0.019241078,2.503377156,0.018548199,0.99991655,-3.683714521,1.731698252
GOBP_SPINDLE_MIDZONE_ASSEMBLY,0.439145092,-0.046968455,1.732129492,0.09449113,0.99991655,-4.258126816,1.024608959
GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE,0.439011313,-0.025980466,2.485543629,0.019319373,0.99991655,-3.698162125,1.714006971
GOMF_DNA_N_GLYCOSYLASE_ACTIVITY,0.438670375,-0.007027569,2.741093402,0.010650838,0.99991655,-3.487562404,1.972616201
GOBP_DNA_UNWINDING_INVOLVED_IN_DNA_REPLICATION,0.436005802,-0.032214798,2.538021496,0.017130708,0.99991655,-3.655531237,1.766224689
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION,0.43301911,-0.00492595,2.604909845,0.014673566,0.99991655,-3.600703444,1.833464322
GOBP_REGULATION_OF_SKELETAL_MUSCLE_CONTRACTION,0.429029143,-0.003224761,2.612372434,0.01442074,0.99991655,-3.594554215,1.84101244
GOBP_CELLULAR_RESPONSE_TO_INTERFERON_ALPHA,0.424775193,-0.003141285,2.791810898,0.009436839,0.99991655,-3.444969803,2.025173457
REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES,0.424483632,-0.048718683,3.145661977,0.003965078,0.99991655,-3.142795301,2.401748303
GOMF_CARD_DOMAIN_BINDING,0.417437675,-0.049260212,2.12642885,0.042614916,0.99991655,-3.978875113,1.370438365
GOMF_ANTIGEN_BINDING,0.416713282,-0.017270327,3.416529987,0.001995334,0.909206984,-2.908122288,2.699984497
BIOCARTA_ATRBRCA_PATHWAY,0.411993856,-0.002082271,3.129992484,0.004123463,0.99991655,-3.156314233,2.384737881
GOMF_3_5_DNA_HELICASE_ACTIVITY,0.408482245,-0.028954292,2.782194688,0.00965653,0.99991655,-3.453062778,2.015178906
REACTOME_HOMOLOGOUS_DNA_PAIRING_AND_STRAND_EXCHANGE,0.405770014,-0.046826508,2.669504462,0.012615377,0.99991655,-3.547275492,1.899099751
GOMF_SINGLE_STRANDED_DNA_HELICASE_ACTIVITY,0.403897049,-0.027549159,2.149778195,0.040550983,0.99991655,-3.961293225,1.391998612
GOCC_OUTER_KINETOCHORE,0.402810181,-0.013778737,1.518017924,0.140460303,0.99991655,-4.393399876,0.852446399
GOBP_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_SPINDLE_ASSEMBLY_CHECKPOINT,0.402406256,-0.051890614,1.695261266,0.101358185,0.99991655,-4.28232253,0.994141175
GOMF_NADPLUS_ADP_RIBOSYLTRANSFERASE_ACTIVITY,0.395338966,-0.009422836,2.623117121,0.014063832,0.99991655,-3.585689595,1.851896345
GOBP_DNA_STRAND_ELONGATION_INVOLVED_IN_DNA_REPLICATION,0.394789777,-0.04871614,1.63106871,0.114314146,0.99991655,-4.323575308,0.941900025
GOBP_RRNA_3_END_PROCESSING,0.390201387,-0.023430693,1.794393562,0.083787959,0.99991655,-4.216460922,1.076818387
RIZ_ERYTHROID_DIFFERENTIATION_HEMGN,0.389870306,0.009315162,3.079477412,0.00467631,0.99991655,-3.199830835,2.330096674
GOBP_REGULATION_OF_CENTRIOLE_REPLICATION,0.385538038,-0.041172297,2.715037938,0.011330079,0.99991655,-3.509353035,1.945767073
GOMF_G_PROTEIN_COUPLED_PURINERGIC_NUCLEOTIDE_RECEPTOR_ACTIVITY,0.385536062,-0.022184058,1.807842935,0.081617104,0.99991655,-4.207331642,1.088218817
REACTOME_HDR_THROUGH_SINGLE_STRAND_ANNEALING_SSA,0.385120573,-0.032208297,2.752449153,0.010366919,0.99991655,-3.478045699,1.984350288
GOCC_SPINDLE_MIDZONE,0.382516022,-0.033347847,2.367482362,0.025215694,0.99991655,-3.792704418,1.598329078
GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY,0.382365185,0.018967562,2.283054991,0.030394697,0.99991655,-3.85903313,1.517202179
GOCC_DNA_REPLICATION_PREINITIATION_COMPLEX,0.380503652,-0.034376336,1.833641773,0.077587522,0.99991655,-4.189694192,1.110208117
GOBP_MAINTENANCE_OF_ORGANELLE_LOCATION,0.38046042,-0.03206245,2.208744217,0.035731443,0.99991655,-3.916439238,1.446949441
GOBP_MYELOID_PROGENITOR_CELL_DIFFERENTIATION,0.379374282,-0.054677299,2.542683382,0.016947806,0.99991655,-3.651727305,1.770886512
GOBP_CELLULAR_RESPONSE_TO_INTERFERON_BETA,0.378970801,0.002925669,1.768677905,0.088076199,0.99991655,-4.233789679,1.055141436
GOBP_GAMMA_AMINOBUTYRIC_ACID_SECRETION,0.376841744,-0.028253006,2.21876626,0.034965545,0.99991655,-3.908753029,1.4563597
chr14A2,0.376166316,-0.032603859,2.24727245,0.032867274,0.99991655,-3.886794258,1.483236311
GOMF_C2H2_ZINC_FINGER_DOMAIN_BINDING,0.375555162,0.000503657,2.282143366,0.030455539,0.99991655,-3.859743063,1.516333707
chr3D,0.375232682,0.005408044,3.424606612,0.001954387,0.909206984,-2.901109578,2.708989355
GOBP_MICROTUBULE_DEPOLYMERIZATION,0.370839403,-0.004203269,3.95173031,0.000492369,0.798795574,-2.445506743,3.307709063
chr17E3,0.370614073,-0.033832865,2.917419296,0.006967137,0.99991655,-3.338589178,2.156945652
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,0.370347197,-0.029739066,1.939388099,0.062810159,0.99991655,-4.115735381,1.201970105
GOBP_T_HELPER_CELL_LINEAGE_COMMITMENT,0.36430667,-0.023170119,2.76030125,0.01017477,0.99991655,-3.471458415,1.9924754
GOBP_REGULATION_OF_FEEDING_BEHAVIOR,0.363562638,0.020150779,2.872110661,0.007777553,0.99991655,-3.377097473,2.109157002
GOBP_NEGATIVE_REGULATION_OF_TELOMERASE_ACTIVITY,0.363533774,-0.030211343,2.172985381,0.038588673,0.99991655,-3.943716431,1.413540152
GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_CHECKPOINT,0.360937094,-0.05425863,1.646559544,0.111067751,0.99991655,-4.313723906,0.954412024
REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES,0.359793771,-0.03114066,2.216117031,0.035166552,0.99991655,-3.910786537,1.453870214
GOBP_REGULATION_OF_DNA_TEMPLATED_DNA_REPLICATION_INITIATION,0.359681732,-0.021583545,1.644214969,0.111554113,0.99991655,-4.315219219,0.952514411
GOBP_ACTIVATION_OF_JANUS_KINASE_ACTIVITY,0.358410131,-0.011112998,2.479737433,0.01957676,0.99991655,-3.70285692,1.708259176
REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING,0.358272548,0.024126602,2.341320586,0.026727342,0.99991655,-3.813378152,1.573044223
GOBP_GAMMA_DELTA_T_CELL_ACTIVATION,0.358086833,-0.00360147,2.875470235,0.007714527,0.99991655,-3.374247097,2.112690706
GOCC_MICROTUBULE_PLUS_END,0.357497689,-0.018621018,2.547010326,0.016779665,0.99991655,-3.648194284,1.775216723
GOBP_NEGATIVE_REGULATION_OF_MICROTUBULE_POLYMERIZATION,0.355955607,0.022419405,2.510703803,0.018239688,0.99991655,-3.677766971,1.738982604
GOCC_XY_BODY,0.355688319,-0.022231264,2.376809353,0.02469593,0.99991655,-3.785308738,1.607374606
GOMF_MICROTUBULE_PLUS_END_BINDING,0.35509454,-0.014460054,2.047165514,0.050337128,0.99991655,-4.037762726,1.29811157
WANG_NFKB_TARGETS,0.352411975,0.042023892,2.65437656,0.013071708,0.99991655,-3.559828232,1.883667658
KAMMINGA_EZH2_TARGETS,0.352393141,-0.037031781,1.62688932,0.115203397,0.99991655,-4.326221738,0.938534715
BURTON_ADIPOGENESIS_3,0.352274944,-0.026802213,1.857763973,0.0739757,0.99991655,-4.173055963,1.130910919
GOMF_ARYL_HYDROCARBON_RECEPTOR_BINDING,0.351446582,-0.035796473,1.628868709,0.114781528,0.99991655,-4.324968979,0.940127998
chr7B4,0.349043095,0.022527998,1.959493772,0.060296493,0.99991655,-4.10138187,1.219707945
GOBP_PYRIMIDINE_DEOXYRIBONUCLEOTIDE_CATABOLIC_PROCESS,0.347854433,-0.024038336,1.840464956,0.076550816,0.99991655,-4.185002216,1.116050173
GOBP_MITOTIC_DNA_REPLICATION,0.347837782,-0.032520276,1.753343068,0.090721221,0.99991655,-4.244043,1.042291114
MT,0.344903414,-0.041342327,1.18984329,0.244312156,0.99991655,-4.573624829,0.612054924
GOBP_CENTRIOLE_ASSEMBLY,0.343876312,-0.028897713,3.06308124,0.004870492,0.99991655,-3.213931986,2.312427138
BIOCARTA_EFP_PATHWAY,0.34367973,-0.017584709,1.616322149,0.117477411,0.99991655,-4.33289112,0.930045633
MORI_IMMATURE_B_LYMPHOCYTE_DN,0.342925091,-0.025671435,1.731717742,0.094565595,0.99991655,-4.25839902,1.024266842
GOMF_ACYLGLYCEROL_LIPASE_ACTIVITY,0.34208433,-0.024371783,2.013762968,0.053946169,0.99991655,-4.06219499,1.268039392
GOBP_REGULATION_OF_HEXOKINASE_ACTIVITY,0.340960759,-0.015606511,2.006961289,0.054708404,0.99991655,-4.067141239,1.261945955
GOBP_NEGATIVE_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION,0.34052294,-0.000926264,3.375690266,0.002215419,0.969112701,-2.943577482,2.654544208
GOBP_REGULATION_OF_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE,0.339699956,-0.042742631,1.665245918,0.107254242,0.99991655,-4.301752008,0.969585524
GOBP_KINETOCHORE_ORGANIZATION,0.338922227,-0.022722242,1.537658082,0.135596971,0.99991655,-4.381536379,0.867750012
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.337818904,-0.005093761,1.508782135,0.142795747,0.99991655,-4.39893895,0.845284726
GOBP_REGULATION_OF_RESPIRATORY_BURST,0.337393434,-0.021090242,1.558111926,0.130678956,0.99991655,-4.369060323,0.883794344
GOBP_ESTABLISHMENT_OF_BLOOD_BRAIN_BARRIER,0.336926118,-0.037111845,2.276082654,0.030862846,0.99991655,-3.864459368,1.510564023
GOBP_CELL_DIFFERENTIATION_INVOLVED_IN_EMBRYONIC_PLACENTA_DEVELOPMENT,0.336341918,-0.039870269,2.508663163,0.018325136,0.99991655,-3.679424194,1.736952804
GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY,0.335990093,-0.023242824,1.926070014,0.064525135,0.99991655,-4.12519311,1.190271077
GOBP_REGULATION_OF_METAPHASE_PLATE_CONGRESSION,0.335410708,-0.044083197,1.590782723,0.123127164,0.99991655,-4.348879758,0.909646123
GOBP_POSITIVE_REGULATION_OF_INTERFERON_ALPHA_PRODUCTION,0.334534725,-0.034839101,2.299783688,0.029297608,0.99991655,-3.845981217,1.533167838
GOBP_FUCOSYLATION,0.334145555,-0.012481363,2.424565079,0.022184912,0.99991655,-3.747240076,1.653942285
GOBP_INTERLEUKIN_17_MEDIATED_SIGNALING_PATHWAY,0.333483944,-0.031567091,1.978897189,0.057954509,0.99991655,-4.087444608,1.236912767
chr15D2,0.33282009,-0.005559477,2.373311407,0.024889702,0.99991655,-3.788083911,1.603980309
HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP,0.331552284,-0.029411689,1.875984708,0.071344518,0.99991655,-4.160395603,1.146639395
MIR_27B_5P,0.33105552,-0.019739218,2.358974657,0.025698492,0.99991655,-3.799438962,1.590092359
GOBP_BEHAVIORAL_RESPONSE_TO_COCAINE,0.330657521,-0.038166662,2.368203893,0.025175131,0.99991655,-3.79213276,1.599028254
GOMF_JUN_KINASE_KINASE_KINASE_ACTIVITY,0.330434817,-0.047211513,1.479860275,0.150313177,0.99991655,-4.416118327,0.823002946
REACTOME_REGULATION_OF_NF_KAPPA_B_SIGNALING,0.329198308,-0.045178605,1.702079568,0.100057468,0.99991655,-4.277875067,0.999750492
GOBP_NLS_BEARING_PROTEIN_IMPORT_INTO_NUCLEUS,0.326699956,-0.001295172,1.411314262,0.16940251,0.99991655,-4.455808048,0.771080159
GOBP_CARDIOBLAST_DIFFERENTIATION,0.326212549,0.02762097,1.86870066,0.072386511,0.99991655,-4.165466282,1.140342356
MP_INCREASED_OVARY_TUMOR_INCIDENCE,0.324393398,-0.050398686,2.285317618,0.030244165,0.99991655,-3.8572705,1.519358407
MP_INCREASED_HEPATOMA_INCIDENCE,0.323446679,-0.02472345,2.271124423,0.031199724,0.99991655,-3.868313187,1.505849248
ZHENG_FOXP3_TARGETS_IN_T_LYMPHOCYTE_UP,0.322265699,-0.014234694,2.916431378,0.006983921,0.99991655,-3.33943032,2.155900655
GOBP_PARAXIAL_MESODERM_MORPHOGENESIS,0.32004967,0.012477292,1.886792272,0.069822392,0.99991655,-4.152848968,1.15600528
GOBP_WOUND_HEALING_SPREADING_OF_EPIDERMAL_CELLS,0.319153488,-0.026331801,2.171403895,0.038719645,0.99991655,-3.944917408,1.412068635
GOBP_ATTACHMENT_OF_MITOTIC_SPINDLE_MICROTUBULES_TO_KINETOCHORE,0.319125497,-0.035553647,1.647167305,0.110941964,0.99991655,-4.313336042,0.954904149
REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR,0.318988853,-0.038076903,2.137468818,0.041627642,0.99991655,-3.970575059,1.380618185
GOBP_REGULATION_OF_RIBONUCLEASE_ACTIVITY,0.317987871,-0.004204469,1.553123143,0.131864819,0.99991655,-4.372114601,0.879871056
MP_DECREASED_TUMOR_LATENCY,0.31783403,-0.014039626,3.04349877,0.005112495,0.99991655,-3.230757042,2.291367073
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,0.317409734,-0.040246322,1.785030362,0.085328233,0.99991655,-4.222789778,1.068907247
GAVIN_FOXP3_TARGETS_CLUSTER_P6,0.317383318,-0.026294485,1.901125347,0.06784718,0.99991655,-4.142798305,1.168468196
GOMF_PHOSPHATE_ION_BINDING,0.316296241,-0.007820371,1.473791651,0.1519303,0.99991655,-4.4196908,0.818355606
GOBP_CEREBELLAR_GRANULAR_LAYER_DEVELOPMENT,0.315928582,0.01321134,2.078980958,0.047099802,0.99991655,-4.014276923,1.326980917
GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE,0.315739788,-0.00304436,2.175686536,0.038365894,0.99991655,-3.94166411,1.416054675
GOBP_REGULATION_OF_ALKALINE_PHOSPHATASE_ACTIVITY,0.31548321,-0.00760345,1.89508269,0.068673917,0.99991655,-4.147041393,1.163208178
REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_PHOSPHORYLATION,0.315112516,-0.024247552,2.272557189,0.031102037,0.99991655,-3.867199983,1.507211166
GOMF_HISTONE_H3K9_METHYLTRANSFERASE_ACTIVITY,0.314099785,-0.03848777,2.077510686,0.047245236,0.99991655,-4.015366789,1.325641975
GOBP_SHORT_CHAIN_FATTY_ACID_METABOLIC_PROCESS,0.3134327,-0.022894345,2.16826261,0.038980974,0.99991655,-3.947301523,1.40914731
GOMF_NADPLUS_PROTEIN_ADP_RIBOSYLTRANSFERASE_ACTIVITY,0.312502565,-0.013943807,1.992259162,0.056388459,0.99991655,-4.077798929,1.248809772
GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS,0.312242832,-0.034886668,1.861118189,0.073485135,0.99991655,-4.170731293,1.133800505
HAN_JNK_SINGALING_UP,0.311932534,-0.00055312,2.293752259,0.029688945,0.99991655,-3.850692304,1.527405228
GOBP_FOREBRAIN_MORPHOGENESIS,0.311383943,0.020753726,1.858791913,0.073825061,0.99991655,-4.172343827,1.131796187
GOCC_DNA_REPAIR_COMPLEX,0.310026744,-0.034694258,2.188052646,0.037360655,0.99991655,-3.932251307,1.427585524
GOBP_CENTRIOLE_CENTRIOLE_COHESION,0.309950837,-0.020057671,1.590664589,0.123153809,0.99991655,-4.348953282,0.909552152
MIKKELSEN_ES_HCP_WITH_H3K27ME3,0.306678048,0.061235719,1.269020954,0.215104021,0.99991655,-4.533395177,0.66735147
GOBP_COMMISSURAL_NEURON_AXON_GUIDANCE,0.30649153,0.004462868,1.984741576,0.057264901,0.99991655,-4.083230466,1.242111484
GOMF_ADENYLYLTRANSFERASE_ACTIVITY,0.304922683,0.004093615,2.074606227,0.047533707,0.99991655,-4.017518493,1.322998319
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY,0.303856295,-0.021277999,1.45475033,0.157095173,0.99991655,-4.430826707,0.803837159
GOCC_MICROTUBULE_END,0.303531998,-0.025284835,2.334445187,0.027138084,0.99991655,-3.818793686,1.566420824
GOBP_POSITIVE_REGULATION_OF_CARDIOCYTE_DIFFERENTIATION,0.303267357,-0.020036265,1.686548613,0.103040938,0.99991655,-4.28798749,0.986990198
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,0.303249304,-0.019167609,1.878300969,0.071015902,0.99991655,-4.158780538,1.148644389
GOBP_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,0.30304437,-0.013220628,2.143543774,0.041093135,0.99991655,-3.965997858,1.386230727
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_BREAK_INDUCED_REPLICATION,0.302477936,-0.037067973,1.341197335,0.190864521,0.99991655,-4.494869398,0.719274794
LAZARO_GENETIC_MOUSE_MODEL_HIGH_GRADE_LARGE_CELL_NEUROENDOCRINE_LUNG_CARCINOMA_UP,0.301889401,-0.025253075,1.986571805,0.057050429,0.99991655,-4.081909235,1.243741086
WP_DOPAMINERGIC_NEUROGENESIS,0.300903379,0.036015415,1.571999634,0.127423689,0.99991655,-4.360519681,0.894749827
MIR_5104B_5P,0.299834956,-0.022538443,2.269299828,0.031324528,0.99991655,-3.869730329,1.50411546
GOCC_INTRACILIARY_TRANSPORT_PARTICLE_B,0.299702052,-0.016462567,2.96727961,0.00616798,0.99991655,-3.296055581,2.209857038
RIZ_ERYTHROID_DIFFERENTIATION_HBZ,0.29930652,-0.008320312,2.094225302,0.045615148,0.99991655,-4.002951267,1.340890908
GOBP_RESPONSE_TO_INTERFERON_BETA,0.298878629,0.000155372,1.473668352,0.1519633,0.99991655,-4.419763267,0.818261284
GOBP_CYTOPLASMIC_TRANSLATIONAL_ELONGATION,0.297728819,-0.04534681,1.683563481,0.103622849,0.99991655,-4.289923716,0.984544471
GOCC_ASTER,0.296904175,-0.020097658,2.018221207,0.053451642,0.99991655,-4.058947579,1.272038951
MIR_339_3P,0.295614727,-0.020961895,1.754484555,0.090522035,0.99991655,-4.243281851,1.043245692
chr3H1,0.294081158,0.0479511,1.584220327,0.124614511,0.99991655,-4.352958026,0.904431384
MIR_8116,0.292958488,0.024421531,2.625327446,0.013991438,0.99991655,-3.583864442,1.854137652
SASAI_RESISTANCE_TO_NEOPLASTIC_TRANSFROMATION,0.291715472,0.006392119,3.094433405,0.00450565,0.99991655,-3.186957888,2.346242595
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_CLUSTERING,0.290885619,-0.030515326,1.790300777,0.084458288,0.99991655,-4.219230068,1.073357725
GOCC_PEPTIDASE_INHIBITOR_COMPLEX,0.290684745,-0.020484197,1.822844998,0.07925262,0.99991655,-4.197095378,1.100986372
WP_TYPE_II_INTERFERON_SIGNALING_IFNG,0.290468091,-0.010569817,1.516317324,0.140887989,0.99991655,-4.394421711,0.851126031
PHESSE_TARGETS_OF_APC_AND_MBD2_UP,0.290023494,0.012369923,1.670730977,0.106155848,0.99991655,-4.298219688,0.974056074
GOBP_CHONDROCYTE_DIFFERENTIATION_INVOLVED_IN_ENDOCHONDRAL_BONE_MORPHOGENESIS,0.289218885,-0.025164561,2.079249193,0.047073312,0.99991655,-4.014078043,1.327225242
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE,0.288966618,0.010351493,1.681612685,0.104004618,0.99991655,-4.291187747,0.982947378
GOBP_DOSAGE_COMPENSATION,0.288937843,-0.024435975,1.66354586,0.107596604,0.99991655,-4.302845158,0.968201436
GOBP_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS,0.288142259,-0.024728406,1.893439861,0.068900189,0.99991655,-4.148193499,1.161779587
GOCC_TORC2_COMPLEX,0.288038079,-0.020874827,1.372211406,0.181123652,0.99991655,-4.477787189,0.742024833
GOBP_RESPONSE_TO_HYDROXYUREA,0.287807871,-0.068923744,1.175965773,0.249721407,0.99991655,-4.580451352,0.602544227
MIR_200B_5P,0.287708319,-0.012070606,2.082698611,0.046733836,0.99991655,-4.011519208,1.330368567
GOBP_KINETOCHORE_ASSEMBLY,0.287271685,-0.018043289,1.327053498,0.195439835,0.99991655,-4.502555324,0.708986914
REACTOME_G0_AND_EARLY_G1,0.287270794,-0.041223252,1.518096782,0.140440496,0.99991655,-4.393352472,0.852507644
GOBP_NEGATIVE_REGULATION_OF_CENTROSOME_DUPLICATION,0.286953473,-0.019536099,1.521959595,0.139473059,0.99991655,-4.391028135,0.855509672
HUMMERICH_BENIGN_SKIN_TUMOR_DN,0.28675529,-0.016317065,1.782826436,0.085694278,0.99991655,-4.22427626,1.067048178
GOMF_STRUCTURAL_CONSTITUENT_OF_POSTSYNAPTIC_SPECIALIZATION,0.286620232,-0.005279068,1.434728258,0.16267658,0.99991655,-4.442415264,0.788674966
MIR_675_3P,0.286521495,-0.009354973,2.842388308,0.008356736,0.99991655,-3.402278553,2.077963336
LE_EGR2_TARGETS_UP,0.286150934,-0.034571805,1.648437287,0.110679503,0.99991655,-4.31252523,0.955932799
GOBP_PROTEIN_AUTO_ADP_RIBOSYLATION,0.285989392,-0.009650572,1.457978082,0.156209899,0.99991655,-4.428946884,0.806291449
BURTON_ADIPOGENESIS_PEAK_AT_24HR,0.285495697,-0.033490867,1.505970081,0.143513043,0.99991655,-4.400620374,0.843108626
chr3G2,0.285332938,0.043768967,1.925767147,0.064564605,0.99991655,-4.125407719,1.190005501
GOCC_KINESIN_COMPLEX,0.284845473,-0.025417293,2.341722041,0.026703535,0.99991655,-3.813061711,1.573431242
GOMF_SOLUTE_PROTON_SYMPORTER_ACTIVITY,0.284011028,0.025610371,1.921663301,0.0651015,0.99991655,-4.128313623,1.186409003
MIR_3963,0.28396652,-0.000379485,2.422194479,0.022303819,0.99991655,-3.749137602,1.651620763
SHIN_B_CELL_LYMPHOMA_CLUSTER_1,0.283944478,-0.002792156,1.294815414,0.206184981,0.99991655,-4.51982653,0.685742973
YU_MYC_TARGETS_UP,0.283311712,-0.029928698,1.499684859,0.145126816,0.99991655,-4.404369924,0.838252332
GOBP_POSITIVE_T_CELL_SELECTION,0.282927974,-0.030602838,2.256857972,0.032187678,0.99991655,-3.879378794,1.492310346
GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_DISASSEMBLY,0.282580691,-0.018850337,2.35416328,0.02597525,0.99991655,-3.803242665,1.585440272
GOBP_DNA_REPLICATION_INITIATION,0.282139981,-0.020706952,1.553165999,0.131854595,0.99991655,-4.372088394,0.879904731
GOBP_DNA_DOUBLE_STRAND_BREAK_PROCESSING,0.281752042,-0.029285418,1.88731475,0.069749524,0.99991655,-4.152483439,1.156458749
chr5E2,0.281663025,0.033894571,2.052878354,0.049741715,0.99991655,-4.033560812,1.303279248
CHEN_ETV5_TARGETS_TESTIS,0.281247392,-0.004110003,1.991888317,0.056431417,0.99991655,-4.078067156,1.248479048
HALLMARK_G2M_CHECKPOINT,0.280714382,-0.030083067,1.599822865,0.121102233,0.99991655,-4.343241491,0.916847849
GOBP_HISTONE_H2A_MONOUBIQUITINATION,0.280342359,-0.015538956,1.947057838,0.061840676,0.99991655,-4.110270603,1.208725773
