,GSVA_score,AveExpr,t,P.Value,adj.P.Val,B,logP
MIR_7237_3P,0.303050062,-0.047965718,2.722004402,0.011103909,0.788607934,-3.492145762,1.954524116
GOBP_DNA_DEALKYLATION,0.334034022,-0.044968799,2.720552524,0.011142253,0.788607934,-3.493374513,1.953026966
GOBP_PROTON_TRANSPORTING_TWO_SECTOR_ATPASE_COMPLEX_ASSEMBLY,0.374973867,-0.061799009,2.713450981,0.011331601,0.788607934,-3.499381688,1.94570871
GOBP_CARDIAC_MYOFIBRIL_ASSEMBLY,-0.363910194,0.073109845,-2.704236685,0.011581773,0.788607934,-3.507168565,1.936224965
OHGUCHI_LIVER_HNF4A_TARGETS_DN,-0.306831452,0.088328842,-2.703242847,0.011609062,0.788607934,-3.508007935,1.93520286
GOBP_NEGATIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR,0.287274733,-0.049581399,2.69641036,0.011798309,0.788607934,-3.513775776,1.928180243
MIR_505_5P,0.22856705,-0.021476875,2.685716657,0.012100303,0.788607934,-3.522793605,1.917203751
GOBP_RNA_METHYLATION,0.237112298,-0.039899401,2.685624895,0.012102925,0.788607934,-3.522870936,1.91710964
GOBP_POSITIVE_REGULATION_OF_HISTONE_H3_K4_METHYLATION,0.376985687,-0.042897803,2.683651659,0.012159445,0.788607934,-3.524533627,1.915086232
chr18E1,0.242603845,-0.013920043,2.679996991,0.012264779,0.788607934,-3.52761206,1.911340274
GOBP_CELLULAR_RESPONSE_TO_GLUCOSE_STARVATION,0.279951491,-0.060256657,2.678776667,0.01230014,0.788607934,-3.528639664,1.910089941
GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_CHEMOTAXIS,0.367157704,-0.046149343,2.674002602,0.012439395,0.788607934,-3.532658285,1.905200757
MIR_3070_5P,0.267817321,-0.022693695,2.672586061,0.012480996,0.788607934,-3.533850212,1.90375076
GOMF_MRNA_REGULATORY_ELEMENT_BINDING_TRANSLATION_REPRESSOR_ACTIVITY,0.426958849,-0.062943026,2.671220723,0.012521216,0.788607934,-3.534998855,1.902353477
GOBP_TRANSCRIPTION_PREINITIATION_COMPLEX_ASSEMBLY,0.284224805,-0.029636977,2.670721408,0.012535956,0.788607934,-3.535418873,1.901842555
GOCC_PARALLEL_FIBER_TO_PURKINJE_CELL_SYNAPSE,-0.32837204,0.122584756,-2.667674815,0.012626239,0.788607934,-3.537981063,1.898726003
WELCH_GATA1_TARGETS,-0.343861309,-0.001007556,-2.664592164,0.012718208,0.788607934,-3.540572573,1.89557408
GOMF_RNA_POLYMERASE_III_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_ACTIVITY,0.390359797,-0.037739584,2.663867057,0.012739932,0.788607934,-3.541182006,1.894832899
GOCC_RNA_POLYMERASE_COMPLEX,0.251308519,-0.049751566,2.663555722,0.01274927,0.788607934,-3.541443657,1.89451469
REACTOME_PLATELET_SENSITIZATION_BY_LDL,0.482239538,-0.051886554,2.66167325,0.012805868,0.788607934,-3.543025498,1.89259098
REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_PHOSPHORYLATION,0.231795279,-0.049136653,2.660565868,0.012839272,0.788607934,-3.543955852,1.891459607
MCCLUNG_CREB1_TARGETS_DN,0.23624649,-0.042472286,2.658459651,0.01290303,0.788607934,-3.545725004,1.889308303
REACTOME_GLYCOGEN_METABOLISM,0.382533867,-0.037518737,2.657743936,0.012924762,0.788607934,-3.546326072,1.88857743
MIR_9769_3P,0.349776692,-0.029441202,2.653700043,0.013048199,0.788607934,-3.549721153,1.884449445
GOBP_RETINAL_GANGLION_CELL_AXON_GUIDANCE,-0.445621457,0.146900201,-2.645775101,0.013293294,0.788607934,-3.55636944,1.876367382
GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE,0.301633946,-0.049758125,2.639101642,0.013503006,0.788607934,-3.561962507,1.869569525
GOBP_PHENOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,0.263745378,0.009586128,2.636868348,0.013573873,0.788607934,-3.563833144,1.867296223
GOBP_REGULATION_OF_TRANSLATIONAL_INITIATION_IN_RESPONSE_TO_STRESS,0.481942951,-0.048116109,2.635507953,0.01361721,0.788607934,-3.564972358,1.865911856
GOBP_REGULATION_OF_STEM_CELL_DIFFERENTIATION,0.306759478,-0.026077349,2.631487174,0.013746053,0.788607934,-3.568338207,1.861821995
MIR_5118,0.352871516,-0.028643416,2.626867341,0.013895492,0.788607934,-3.572203297,1.857126057
GOBP_REGULATION_OF_ENDOSOME_SIZE,0.342330278,-0.052871098,2.62527226,0.013947439,0.788607934,-3.573537231,1.855505515
GOBP_RESPONSE_TO_ESTROGEN,0.26129614,-0.047857012,2.623106764,0.014018253,0.788607934,-3.575347732,1.85330612
GOBP_REGULATION_OF_SKELETAL_MUSCLE_TISSUE_DEVELOPMENT,0.343086204,-0.01592166,2.622392203,0.014041692,0.788607934,-3.575945036,1.852580542
MIR_6910_5P,0.292909385,-0.044737415,2.620708104,0.014097081,0.788607934,-3.577352553,1.850870812
MIR_331_5P,0.26737154,-0.043664783,2.620517918,0.014103349,0.788607934,-3.577511484,1.850677761
WP_ESTROGEN_SIGNALING,0.321962964,-0.046977779,2.615989283,0.014253363,0.788607934,-3.581294673,1.846082665
GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME,0.289392583,-0.040207714,2.615277187,0.014277086,0.788607934,-3.58188934,1.845360427
GOBP_TRANSLESION_SYNTHESIS,0.35971892,-0.077310649,2.610671102,0.014431426,0.788607934,-3.585734445,1.840690766
GOBP_REGULATION_OF_MRNA_POLYADENYLATION,0.482330038,-0.086450792,2.607694315,0.014531995,0.788607934,-3.588218132,1.837674761
MIR_345_3P,0.338359999,-0.024851613,2.60448195,0.014641254,0.788607934,-3.590897221,1.834421727
GOBP_UTERUS_DEVELOPMENT,0.279550767,0.034970097,2.594904694,0.014971543,0.788607934,-3.598877444,1.824733425
GOBP_RIBOSOME_BIOGENESIS,0.251831396,-0.047927876,2.593643378,0.015015555,0.788607934,-3.59992763,1.823458625
MIKKELSEN_MEF_HCP_WITH_H3_UNMETHYLATED,-0.278076175,0.075158688,-2.593165199,0.015032271,0.788607934,-3.600325718,1.822975404
GOBP_NUCLEUS_ORGANIZATION,0.283918626,-0.045068432,2.588168327,0.015207992,0.788607934,-3.604484039,1.817928138
GOBP_FRUCTOSE_6_PHOSPHATE_METABOLIC_PROCESS,0.359519146,0.006113099,2.587948857,0.015215753,0.788607934,-3.604666611,1.817706551
GOBP_SNRNA_METABOLIC_PROCESS,0.229662648,-0.072960393,2.587871422,0.015218492,0.788607934,-3.604731025,1.817628371
GOCC_TELOMERASE_HOLOENZYME_COMPLEX,0.422025544,-0.059649536,2.586722713,0.015259183,0.788607934,-3.605686504,1.816468726
GOCC_PRESYNAPTIC_MEMBRANE,-0.20216985,0.049130572,-2.584328693,0.01534431,0.788607934,-3.607677308,1.814052629
GOMF_METALLOENDOPEPTIDASE_ACTIVITY,-0.210239316,0.034990982,-2.582802817,0.015398798,0.788607934,-3.60894583,1.812513185
GOCC_CATION_CHANNEL_COMPLEX,-0.302940034,0.119789568,-2.580869155,0.015468105,0.788607934,-3.610552959,1.810562892
chr4A1,0.258157713,-0.043737587,2.575262609,0.015670697,0.788607934,-3.6152102,1.804911694
REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS,0.279041487,0.006076082,2.574202735,0.015709271,0.788607934,-3.616090189,1.803843976
GOBP_REGULATION_OF_MOTOR_NEURON_APOPTOTIC_PROCESS,-0.284027114,0.030033302,-2.571898441,0.015793439,0.788607934,-3.618002921,1.801523285
MIR_466F_5P,0.478082779,-0.063427745,2.571691691,0.015801012,0.788607934,-3.618174508,1.801315107
GOBP_RRNA_METABOLIC_PROCESS,0.241311714,-0.049364881,2.571156105,0.015820643,0.788607934,-3.618618977,1.800775858
VERNOCHET_ADIPOGENESIS,-0.445234101,0.116539758,-2.570497486,0.015844816,0.788607934,-3.619165501,1.8001128
WP_MAPK_CASCADE,0.406600477,-0.058523966,2.569112882,0.015895745,0.788607934,-3.620314278,1.798719105
MIR_3087_3P,0.276263292,-0.029401229,2.56834718,0.015923975,0.788607934,-3.620949464,1.797948516
GOBP_PYRAMIDAL_NEURON_DIFFERENTIATION,0.478479789,-0.049930397,2.567640639,0.015950065,0.788607934,-3.621535509,1.797237553
GOCC_PRERIBOSOME_LARGE_SUBUNIT_PRECURSOR,0.339151735,-0.068794192,2.56617043,0.016004481,0.788607934,-3.62275479,1.795758415
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE,0.428763582,-0.04110196,2.565431606,0.016031891,0.788607934,-3.623367415,1.795015242
GOBP_POSITIVE_REGULATION_OF_MRNA_PROCESSING,0.352515177,-0.03987819,2.564965206,0.016049217,0.788607934,-3.623754115,1.794546145
MIR_7213_5P,-0.28202314,0.025346326,-2.564407757,0.016069948,0.788607934,-3.62421627,1.79398552
REACTOME_COLLAGEN_FORMATION,-0.36663341,0.100046171,-2.562058209,0.016157599,0.788607934,-3.62616375,1.791623171
GOBP_REGULATION_OF_TRANSLATIONAL_INITIATION_BY_EIF2_ALPHA_PHOSPHORYLATION,0.46392332,-0.066127853,2.560070863,0.016232084,0.788607934,-3.627810481,1.789625731
GOBP_MELANIN_METABOLIC_PROCESS,0.306571329,-0.008179991,2.557335368,0.016335129,0.788607934,-3.630076336,1.786877445
GOBP_SOMATIC_STEM_CELL_DIVISION,0.280407662,-0.008982828,2.550418864,0.01659838,0.788607934,-3.635801249,1.779934307
