,GSVA_score,AveExpr,t,P.Value,adj.P.Val,B
GOBP_REGULATION_OF_GENE_EXPRESSION_BY_GENOMIC_IMPRINTING,0.566001412,-0.08088353,6.374800889,7.41E-08,1.26E-05,7.984313071
GOCC_CUL4_RING_E3_UBIQUITIN_LIGASE_COMPLEX,0.818718897,-0.099701014,6.370373668,7.52E-08,1.26E-05,7.969611817
BILANGES_SERUM_SENSITIVE_VIA_TSC2,0.542594483,-0.06431423,6.363384203,7.71E-08,1.26E-05,7.946402815
BIOCARTA_G1_PATHWAY,0.63239297,-0.104448557,6.359200229,7.82E-08,1.26E-05,7.932509986
GOCC_DNA_REPAIR_COMPLEX,0.825902701,-0.107783109,6.357373215,7.87E-08,1.26E-05,7.926443495
MIR_1271_3P,0.686164718,-0.082753321,6.346306886,8.18E-08,1.26E-05,7.88969953
MIR_3110_3P,0.454816513,-0.077350485,6.343612343,8.26E-08,1.26E-05,7.880753033
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES,0.648100218,-0.093737565,6.342278455,8.30E-08,1.26E-05,7.876324267
MIR_6911_3P,0.452640185,-0.050121388,6.331400977,8.62E-08,1.26E-05,7.840210066
chr18D1,0.664095735,-0.124751689,6.329308382,8.68E-08,1.26E-05,7.8332627
MIR_5618_3P,0.489570417,-0.086276055,6.32675387,8.76E-08,1.26E-05,7.824781891
MIR_1949,0.489570417,-0.086276055,6.32675387,8.76E-08,1.26E-05,7.824781891
GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY,-0.645978766,0.102341027,-6.3186546,9.01E-08,1.26E-05,7.797893645
GOBP_HEME_METABOLIC_PROCESS,0.587090831,-0.067679873,6.313035107,9.19E-08,1.26E-05,7.779238582
REACTOME_INTRAFLAGELLAR_TRANSPORT,0.498882922,-0.048640061,6.312460534,9.21E-08,1.26E-05,7.777331205
MIR_182_3P,0.436990198,-0.0544494,6.310777206,9.26E-08,1.26E-05,7.771743188
GOMF_HEXOSYLTRANSFERASE_ACTIVITY,0.35239372,-0.035295829,6.310291435,9.28E-08,1.26E-05,7.770130622
WP_KENNEDY_PATHWAY,0.622440445,-0.061636377,6.30876263,9.33E-08,1.26E-05,7.765055628
MIR_879_5P,0.583488263,-0.091093329,6.296919131,9.72E-08,1.30E-05,7.725741759
GOBP_PRESYNAPTIC_ENDOCYTOSIS,0.440009393,-0.086688747,6.284245351,1.02E-07,1.34E-05,7.68367509
MIR_485_5P,0.464352497,-0.050546959,6.270491957,1.07E-07,1.36E-05,7.638029018
GOBP_NON_MOTILE_CILIUM_ASSEMBLY,0.553055405,-0.080839261,6.269157378,1.07E-07,1.36E-05,7.633599921
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION,0.664799894,-0.100713221,6.266665856,1.08E-07,1.36E-05,7.625331371
MIR_5627_5P,0.443844182,-0.05818343,6.266249246,1.08E-07,1.36E-05,7.623948792
GOMF_INSULIN_RECEPTOR_BINDING,0.416314207,-0.057538082,6.259735013,1.11E-07,1.38E-05,7.602330935
MIR_710,0.546198672,-0.065491768,6.255875922,1.12E-07,1.38E-05,7.589524809
MIR_6915_3P,0.470857632,-0.048171102,6.250107139,1.14E-07,1.39E-05,7.570382195
GOBP_POSITIVE_REGULATION_OF_MITOPHAGY_IN_RESPONSE_TO_MITOCHONDRIAL_DEPOLARIZATION,0.829600521,-0.108908528,6.242003552,1.18E-07,1.42E-05,7.543493413
GOBP_TRANSPORT_ALONG_MICROTUBULE,0.437317965,-0.05688042,6.237572593,1.20E-07,1.42E-05,7.528791623
GOMF_DYNACTIN_BINDING,0.764373479,-0.131222961,6.232285442,1.22E-07,1.43E-05,7.511249699
GOBP_REGULATION_OF_MITOCHONDRIAL_FISSION,0.502492312,-0.056215097,6.224560727,1.25E-07,1.45E-05,7.485621697
LIN_NPAS4_TARGETS_UP,0.401343954,-0.043702363,6.222022536,1.26E-07,1.45E-05,7.477201194
GOMF_SEMAPHORIN_RECEPTOR_ACTIVITY,0.615576634,-0.083708237,6.215457376,1.29E-07,1.47E-05,7.455421981
GOBP_GAP_JUNCTION_ASSEMBLY,-0.947477257,0.209037348,-6.214042142,1.30E-07,1.47E-05,7.450727256
MIR_6516_3P,0.501143938,-0.072022908,6.206733549,1.33E-07,1.49E-05,7.426483541
MIR_207,0.378679033,-0.052417957,6.174912985,1.49E-07,1.65E-05,7.320948822
GOBP_NEGATIVE_REGULATION_OF_MIRNA_METABOLIC_PROCESS,0.505234589,-0.046274637,6.164098835,1.54E-07,1.69E-05,7.285090455
MIR_690,0.388046968,-0.054469254,6.158021624,1.58E-07,1.71E-05,7.26494091
MIR_7224_3P,0.440878333,-0.08834797,6.153387997,1.60E-07,1.71E-05,7.249578549
MIR_5620_3P,0.407359666,-0.059928676,6.153033222,1.60E-07,1.71E-05,7.248402357
GOBP_SMOOTHENED_SIGNALING_PATHWAY_INVOLVED_IN_DORSAL_VENTRAL_NEURAL_TUBE_PATTERNING,0.63614266,-0.023850329,6.150619057,1.62E-07,1.71E-05,7.240398741
WP_ONECARBON_METABOLISM,0.687175245,-0.107387067,6.147423192,1.64E-07,1.71E-05,7.229803893
MIR_6341,0.514951492,-0.069492455,6.14046666,1.68E-07,1.73E-05,7.206743036
MIR_301A_3P_MIR_301B_3P,0.520274855,-0.071588557,6.131149736,1.73E-07,1.75E-05,7.175860234
MIR_6937_3P,0.442662573,-0.055339483,6.131007085,1.73E-07,1.75E-05,7.175387416
MIR_7649_5P,0.37236388,-0.04262036,6.127506548,1.75E-07,1.75E-05,7.163785033
GOMF_TAU_PROTEIN_BINDING,0.555009613,-0.09736946,6.127140759,1.76E-07,1.75E-05,7.162572667
MIR_7022_3P,0.658285312,-0.090481539,6.12368044,1.78E-07,1.76E-05,7.151104084
GOBP_REGULATION_OF_GLIAL_CELL_APOPTOTIC_PROCESS,0.686868294,-0.072738958,6.119019395,1.81E-07,1.76E-05,7.135656633
GOBP_NEURAL_TUBE_PATTERNING,0.498058374,-0.027262426,6.114218585,1.84E-07,1.76E-05,7.119746848
MIR_539_5P,0.385815911,-0.050890475,6.113817366,1.84E-07,1.76E-05,7.118417257
MIR_92A_1_5P,0.435865354,-0.06095736,6.113223304,1.84E-07,1.76E-05,7.116448617
GOBP_TRIGLYCERIDE_CATABOLIC_PROCESS,-0.541272784,0.081527468,-6.111224854,1.86E-07,1.76E-05,7.109826136
GOBP_HEME_BIOSYNTHETIC_PROCESS,0.574010349,-0.071793965,6.097520578,1.95E-07,1.79E-05,7.064417016
MIR_6389,0.51980968,-0.070713893,6.097437292,1.95E-07,1.79E-05,7.064141071
MIR_130C,0.51980968,-0.070713893,6.097437292,1.95E-07,1.79E-05,7.064141071
MIR_338_3P,0.48302803,-0.065701347,6.093113602,1.98E-07,1.79E-05,7.049816099
MIR_130B_3P,0.524591401,-0.072063162,6.092608765,1.98E-07,1.79E-05,7.048143556
MIR_323_3P,0.430908843,-0.057709944,6.090757221,1.99E-07,1.79E-05,7.042009414
GOMF_MANNOSIDASE_ACTIVITY,0.711663168,-0.043144075,6.073794538,2.11E-07,1.89E-05,6.985818873
MIR_5124A,0.388762092,-0.059490201,6.069786218,2.14E-07,1.89E-05,6.972542702
REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION,0.790621814,-0.13081493,6.069004785,2.15E-07,1.89E-05,6.969954557
REACTOME_RETROGRADE_TRANSPORT_AT_THE_TRANS_GOLGI_NETWORK,0.708534272,-0.100359484,6.057905679,2.23E-07,1.94E-05,6.933196641
MIR_673_5P,0.404881676,-0.05286386,6.056593818,2.25E-07,1.94E-05,6.92885239
GOBP_HISTONE_H2A_MONOUBIQUITINATION,0.721981308,-0.085340404,6.054551187,2.26E-07,1.94E-05,6.922088337
MIR_188_3P,0.417245131,-0.064963507,6.050569933,2.29E-07,1.95E-05,6.90890518
MIR_130A_3P_MIR_721,0.521004493,-0.070848367,6.048460667,2.31E-07,1.95E-05,6.901921042
MIR_3109_3P,0.425630231,-0.077196935,6.038514956,2.39E-07,2.00E-05,6.868991845
MIR_8097,0.408176471,-0.055393212,6.030486194,2.46E-07,2.03E-05,6.842412806
MIR_6985_3P,0.408019222,-0.052826036,6.03040763,2.46E-07,2.03E-05,6.842152736
REACTOME_HDR_THROUGH_MMEJ_ALT_NHEJ,0.864457376,-0.126688347,6.028730595,2.47E-07,2.03E-05,6.83660134
REACTOME_AURKA_ACTIVATION_BY_TPX2,0.679702998,-0.091237856,6.020736368,2.54E-07,2.06E-05,6.810140327
MIR_3544_5P,0.415891262,-0.06379999,6.020496002,2.55E-07,2.06E-05,6.809344759
GOBP_INTRACELLULAR_PH_REDUCTION,0.480630291,-0.070851487,6.018414699,2.56E-07,2.06E-05,6.802456144
GOBP_INTRACILIARY_TRANSPORT,0.474703922,-0.071402332,6.013830256,2.61E-07,2.06E-05,6.787283473
MIR_5116,0.410199563,-0.060979335,6.012936274,2.61E-07,2.06E-05,6.784324872
MIR_1962,0.455436075,-0.053636973,6.01219038,2.62E-07,2.06E-05,6.781856391
GOBP_ENDOCYTOSIS_INVOLVED_IN_VIRAL_ENTRY_INTO_HOST_CELL,0.877542687,-0.112296803,6.009799935,2.64E-07,2.06E-05,6.773945576
GOBP_MITOTIC_CHROMOSOME_CONDENSATION,0.832877347,-0.097305035,5.98207938,2.91E-07,2.19E-05,6.682229608
MIKKELSEN_NPC_ICP_WITH_H3K4ME3,0.318570464,-0.05896623,5.976448254,2.97E-07,2.19E-05,6.66360336
GOBP_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION_IN_RESPONSE_TO_MITOCHONDRIAL_DEPOLARIZATION,0.857846692,-0.107600329,5.976434017,2.97E-07,2.19E-05,6.663556271
GOBP_GASTRULATION_WITH_MOUTH_FORMING_SECOND,0.449026621,-0.092688526,5.975999161,2.97E-07,2.19E-05,6.662117951
GOBP_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_BETA_SIGNALING_PATHWAY,0.642722167,-0.082910104,5.975598026,2.98E-07,2.19E-05,6.66079118
MIR_29B_1_5P,0.344841821,-0.046027665,5.974602939,2.99E-07,2.19E-05,6.657499919
GOBP_RESPONSE_TO_MITOCHONDRIAL_DEPOLARISATION,0.831027811,-0.10824204,5.973764605,2.99E-07,2.19E-05,6.654727159
MIR_350_3P,0.358994074,-0.040977287,5.972790963,3.00E-07,2.19E-05,6.651506924
GOBP_PHAGOSOME_LYSOSOME_FUSION,0.639040605,-0.055605117,5.972272888,3.01E-07,2.19E-05,6.649793455
MIR_302C_3P,0.396105039,-0.054006375,5.97097954,3.02E-07,2.19E-05,6.64551593
GOCC_ENDOPLASMIC_RETICULUM_TUBULAR_NETWORK,0.657671258,-0.073606278,5.970035393,3.03E-07,2.19E-05,6.642393387
GOBP_MICROTUBULE_BASED_TRANSPORT,0.317196723,-0.051241277,5.968548159,3.05E-07,2.19E-05,6.637474804
MIR_6238,0.388334408,-0.058136429,5.966270887,3.07E-07,2.19E-05,6.629943641
MIR_211_5P,0.330288036,-0.044468376,5.955302874,3.19E-07,2.24E-05,6.593675274
MIR_7681_3P,0.461764495,-0.061725455,5.954846834,3.20E-07,2.24E-05,6.592167412
MIR_6344,0.399001293,-0.051332291,5.953394852,3.21E-07,2.24E-05,6.587366615
MIR_204_5P,0.328441111,-0.045378994,5.950647608,3.25E-07,2.24E-05,6.578283518
GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME,0.653870364,-0.087957286,5.950640518,3.25E-07,2.24E-05,6.578260078
GOBP_INNER_CELL_MASS_CELL_PROLIFERATION,0.872372768,-0.100016741,5.947073939,3.29E-07,2.25E-05,6.566468679
GOMF_BETA_TUBULIN_BINDING,0.459112891,-0.073943954,5.946051586,3.30E-07,2.25E-05,6.563088825
MIR_101B_3P,0.417970135,-0.056510585,5.941892553,3.35E-07,2.26E-05,6.549339865
MIR_3101_5P,0.599217292,-0.088155796,5.94142865,3.35E-07,2.26E-05,6.547806352
GOBP_CILIUM_ORGANIZATION,0.297084979,-0.05564026,5.938376024,3.39E-07,2.27E-05,6.537715664
GOBP_GLYCOPROTEIN_METABOLIC_PROCESS,0.312059687,-0.037075011,5.936096353,3.41E-07,2.27E-05,6.530180382
MIR_7670_3P,0.334093204,-0.045099113,5.934409083,3.43E-07,2.27E-05,6.524603429
MIR_7213_3P,0.582518913,-0.078268592,5.932754001,3.45E-07,2.27E-05,6.519133027
GOMF_NEUROPEPTIDE_BINDING,-0.98393796,0.149913271,-5.927908926,3.51E-07,2.27E-05,6.503119919
MIR_7091_3P,0.3622045,-0.038494644,5.927384245,3.52E-07,2.27E-05,6.501385916
MIR_212_3P,0.440354472,-0.065783828,5.927030311,3.52E-07,2.27E-05,6.500216216
MIR_7047_3P,0.480781273,-0.072918902,5.924396814,3.56E-07,2.27E-05,6.491513144
GOBP_PROTEIN_LOCALIZATION_TO_CYTOSKELETON,0.534536929,-0.068183828,5.92428184,3.56E-07,2.27E-05,6.491133191
GOBP_PIGMENT_METABOLIC_PROCESS,0.386740908,-0.075822522,5.921086522,3.60E-07,2.28E-05,6.480573999
GOMF_MISMATCH_REPAIR_COMPLEX_BINDING,0.821424035,-0.12815745,5.920214028,3.61E-07,2.28E-05,6.477690873
GOMF_PROLINE_RICH_REGION_BINDING,0.660446008,-0.120667956,5.91284022,3.70E-07,2.33E-05,6.453326199
GOCC_NUCLEAR_UBIQUITIN_LIGASE_COMPLEX,0.659913583,-0.097800132,5.908109216,3.76E-07,2.35E-05,6.437695635
GOBP_PROTEIN_HETEROTETRAMERIZATION,0.49784886,-0.06636489,5.9032388,3.83E-07,2.36E-05,6.421605885
GOBP_CENTRIOLE_ASSEMBLY,0.63169139,-0.104314122,5.903197127,3.83E-07,2.36E-05,6.42146822
REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION,0.642182434,-0.0795892,5.901981845,3.84E-07,2.36E-05,6.417453682
GOBP_NUCLEUS_LOCALIZATION,0.504561565,-0.066435853,5.897681315,3.90E-07,2.36E-05,6.403248114
GOBP_PROTEIN_AUTOUBIQUITINATION,0.490729083,-0.043438386,5.897600442,3.90E-07,2.36E-05,6.402980986
GOBP_PROTEIN_CONTAINING_COMPLEX_LOCALIZATION,0.367359182,-0.073679833,5.896728905,3.91E-07,2.36E-05,6.400102257
MIR_671_5P,0.398843781,-0.052100777,5.895365452,3.93E-07,2.36E-05,6.395598796
GOBP_PEROXISOMAL_TRANSPORT,0.67403305,-0.082001923,5.885434248,4.07E-07,2.43E-05,6.362799697
REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS,0.492787042,-0.067018638,5.882973701,4.10E-07,2.44E-05,6.354674371
MIR_802_5P,0.438559048,-0.058640636,5.879513824,4.15E-07,2.46E-05,6.343249662
GOMF_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_BINDING,0.766686894,-0.142526114,5.876643644,4.20E-07,2.47E-05,6.333772739
MIR_6924_3P,0.371145678,-0.035044473,5.87257547,4.26E-07,2.49E-05,6.320341113
MIR_876_3P,0.297939879,-0.028876919,5.871333993,4.27E-07,2.49E-05,6.316242419
GOBP_MANNOSE_METABOLIC_PROCESS,0.927113714,-0.115236441,5.868811715,4.31E-07,2.50E-05,6.30791551
GOBP_REGULATION_OF_DNA_DAMAGE_CHECKPOINT,0.669914419,-0.101115073,5.859904742,4.45E-07,2.55E-05,6.278513828
MIR_6947_5P,0.484519432,-0.072869982,5.858387719,4.47E-07,2.55E-05,6.273506691
REACTOME_NUCLEAR_PORE_COMPLEX_NPC_DISASSEMBLY,0.782385988,-0.101335297,5.856796718,4.50E-07,2.55E-05,6.268255541
MIR_203_3P,0.388868863,-0.053474749,5.856657787,4.50E-07,2.55E-05,6.267797004
MIR_1191B_3P,0.451038268,-0.044381676,5.853781584,4.54E-07,2.56E-05,6.258304455
GOBP_REGULATION_OF_TRIGLYCERIDE_CATABOLIC_PROCESS,-0.590546815,0.079364743,-5.852711166,4.56E-07,2.56E-05,6.254771813
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE,0.641685644,-0.100218933,5.85144403,4.58E-07,2.56E-05,6.250590053
GOBP_HISTONE_MONOUBIQUITINATION,0.567905905,-0.040373805,5.849569604,4.61E-07,2.56E-05,6.24440433
MIR_490_5P,0.398870343,-0.035446707,5.846908666,4.65E-07,2.57E-05,6.235623473
MIR_7092_5P,0.40446812,-0.050040603,5.841704221,4.74E-07,2.61E-05,6.21845064
GOBP_PHOSPHATE_ION_HOMEOSTASIS,-0.629479388,0.218674218,-5.838963139,4.78E-07,2.61E-05,6.209406773
GOBP_TRANSPORT_OF_VIRUS,0.850447198,-0.107401247,5.838341962,4.79E-07,2.61E-05,6.207357344
GOBP_GOLGI_TO_PLASMA_MEMBRANE_TRANSPORT,0.662247316,-0.091089001,5.837342298,4.81E-07,2.61E-05,6.204059245
GOBP_POSITIVE_REGULATION_OF_MITOCHONDRIAL_TRANSLATION,0.816870129,-0.111702525,5.827339466,4.98E-07,2.69E-05,6.171061567
MIR_132_3P,0.435852729,-0.068022249,5.823373001,5.05E-07,2.71E-05,6.157978767
MIR_7078_3P,0.417751373,-0.046911676,5.819696129,5.11E-07,2.73E-05,6.14585213
MIR_467B_5P,0.31416746,-0.052044116,5.816835843,5.16E-07,2.73E-05,6.136419313
GOBP_REGULATION_OF_SYNAPTIC_VESICLE_RECYCLING,0.45043687,-0.07153551,5.816797464,5.16E-07,2.73E-05,6.13629275
GOBP_INTRACELLULAR_ZINC_ION_HOMEOSTASIS,0.535090659,-0.05708851,5.815664065,5.18E-07,2.73E-05,6.132555123
MIR_12188_3P,0.43885468,-0.065845259,5.813408619,5.23E-07,2.74E-05,6.125117577
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,0.541383926,-0.074944432,5.809375222,5.30E-07,2.75E-05,6.111817968
MIR_7015_3P,0.396564632,-0.042932054,5.808675578,5.31E-07,2.75E-05,6.109511099
GROSS_HYPOXIA_VIA_ELK3_UP,0.462089352,-0.067612404,5.808314529,5.32E-07,2.75E-05,6.108320661
GOCC_CLATHRIN_COATED_ENDOCYTIC_VESICLE_MEMBRANE,0.830542984,-0.151380749,5.805044426,5.38E-07,2.75E-05,6.097539013
MIR_8107,0.469113352,-0.050397866,5.804838869,5.38E-07,2.75E-05,6.096861312
OHGUCHI_LIVER_HNF4A_TARGETS_DN,-0.518540249,0.105812279,-5.803049712,5.42E-07,2.75E-05,6.090962746
GOBP_NEGATIVE_REGULATION_OF_CILIUM_ASSEMBLY,0.605064631,-0.09020995,5.802532393,5.43E-07,2.75E-05,6.089257271
MIR_7646_5P,0.411604698,-0.049319542,5.797654984,5.52E-07,2.79E-05,6.073178586
GOBP_NEGATIVE_REGULATION_OF_NEUROINFLAMMATORY_RESPONSE,0.525178925,-0.059123685,5.792910591,5.61E-07,2.82E-05,6.057540055
GOBP_REGULATION_OF_SYNAPTIC_VESICLE_ENDOCYTOSIS,0.566672473,-0.094025161,5.789914593,5.67E-07,2.84E-05,6.047665451
GOCC_NUCLEAR_CHROMOSOME,0.545769909,-0.083081452,5.786868646,5.73E-07,2.86E-05,6.037626894
GOCC_AP_3_ADAPTOR_COMPLEX,0.74177999,-0.099252203,5.784754782,5.77E-07,2.86E-05,6.030660614
REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE,0.575463073,-0.081813174,5.782250287,5.82E-07,2.88E-05,6.022407433
GOBP_CELLULAR_MODIFIED_AMINO_ACID_BIOSYNTHETIC_PROCESS,0.504049293,-0.076356118,5.77635268,5.94E-07,2.89E-05,6.002974605
GOBP_GLYCOSYLATION,0.38241244,-0.046134933,5.774893257,5.97E-07,2.89E-05,5.998166157
REACTOME_SIGNAL_TRANSDUCTION_BY_L1,0.676813303,-0.090152527,5.773942856,5.99E-07,2.89E-05,5.995034899
